# species: Drosophila melanogaster
# support: EXP, IMP, HMP, HEP, IDA, IGI, HGI, IPI, IEP, HDA
# associations retrieved on: 2019-04-24 10:40:28-04
# gofunc built on: 2018-02-21 10:04:34.764444-05
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.fb.gz
#   revision: 2018-02-02 $
#   downloaded on: 2018-02-14 09:47:16-05
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201512-termdb-tables.tar.gz
#   downloaded on: 2015-12-22 05:43:21-05
# translation required: yes
# translation info:
#   authority: ensembl
#     synergizer db built on: 2015-11-17 14:24:21.26681-05
#     synergizer db built from: Ensembl Genes 82 / Metazoa Mart / Plant Mart
#   namespace: flybasecgid_gene
#   coverage: 99.4%
# size of "genespace": 12880
# number of attributes: 8227
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
GO:0000001	mitochondrion inheritance	CG42551 CG8862
GO:0000781	chromosome, telomeric region	CG10583 CG14121 CG14251 CG15636 CG1619 CG18468 CG30085 CG42350 CG5965 CG6219 CG6874 CG8044 CG8068 CG8409
GO:0000782	telomere cap complex	CG14121 CG42350 CG6219
GO:0000784	nuclear chromosome, telomeric region	CG10583 CG6219
GO:0000785	chromatin	CG10042 CG10198 CG10212 CG10296 CG10630 CG10683 CG10701 CG1071 CG10718 CG10726 CG10851 CG10922 CG10955 CG11397 CG11678 CG11680 CG11992 CG12225 CG12238 CG12442 CG12749 CG12864 CG13363 CG13425 CG13550 CG14016 CG1490 CG14938 CG15191 CG15481 CG15636 CG15835 CG15929 CG1619 CG16901 CG17136 CG17436 CG1745 CG17704 CG17743 CG1793 CG18468 CG18608 CG1911 CG1960 CG2075 CG2129 CG2158 CG2207 CG2503 CG30085 CG3034 CG3041 CG31151 CG31212 CG3134 CG32217 CG32443 CG32491 CG33261 CG3354 CG3423 CG34438 CG3480 CG3509 CG3654 CG4029 CG40351 CG40411 CG4303 CG43663 CG43664 CG44246 CG4453 CG4454 CG4478 CG4479 CG4548 CG4840 CG4976 CG5170 CG5303 CG5442 CG5595 CG5748 CG5965 CG6057 CG6061 CG6122 CG6146 CG6226 CG6249 CG6251 CG6386 CG6773 CG6819 CG6930 CG7041 CG7229 CG7357 CG7413 CG7471 CG7869 CG7957 CG8044 CG8103 CG8165 CG8274 CG8290 CG8409 CG8445 CG8484 CG8573 CG8580 CG8592 CG8599 CG8787 CG8815 CG8817 CG8887 CG9007 CG9045 CG9373 CG9594 CG9745 CR31400
GO:0000786	nucleosome	CG13329 CG33901 CG5499 CG9745
GO:0000788	nuclear nucleosome	CG13329
GO:0000790	nuclear chromatin	CG11992 CG12442 CG12864 CG13363 CG14016 CG17743 CG1793 CG18608 CG1960 CG2075 CG30085 CG31212 CG3134 CG3354 CG3654 CG40411 CG4303 CG44246 CG4453 CG4478 CG5595 CG6146 CG7229 CG7869 CG7957 CG8044 CG8274 CG8409 CG8445 CG8484 CG8580 CG8592 CG9045 CG9373
GO:0000791	euchromatin	CG10922 CG11992 CG12238 CG15929 CG18608 CG1960 CG33261 CG3654 CG4029 CG40351 CG40411 CG4303 CG4453 CG5965 CG6122 CG6146 CG8274 CG8409 CG8580 CG9045
GO:0000792	heterochromatin	CG10296 CG10630 CG10683 CG10718 CG12238 CG12749 CG12864 CG13363 CG14938 CG15636 CG15835 CG1619 CG17436 CG1745 CG1793 CG18468 CG18608 CG2129 CG30085 CG3041 CG33261 CG3423 CG43664 CG44246 CG4548 CG4976 CG5170 CG5303 CG5965 CG6122 CG6226 CG6930 CG7041 CG7357 CG7869 CG7957 CG8044 CG8290 CG8409 CG8599 CG9745
GO:0000793	condensed chromosome	CG10480 CG10726 CG12864 CG14251 CG15793 CG1915 CG4494 CG5738 CG6339 CG6384 CG8409
GO:0000794	condensed nuclear chromosome	CG14251 CG1915 CG4494 CG5738
GO:0000795	synaptonemal complex	CG17436 CG17604 CG7676
GO:0000796	condensin complex	CG10212 CG10726 CG11397 CG1911 CG34438
GO:0000803	sex chromosome	CG11680 CG3025 CG3241 CG3315 CG8631
GO:0000805	X chromosome	CG11680 CG3025 CG3241 CG8631
GO:0000806	Y chromosome	CG3315
GO:0000808	origin recognition complex	CG10667 CG1584 CG2917 CG3041 CG4088 CG7833
GO:0000811	GINS complex	CG14549 CG18013 CG2222 CG9187
GO:0000813	ESCRT I complex	CG1115 CG12770 CG7192 CG9712
GO:0000819	sister chromatid segregation	CG10229 CG10583 CG10718 CG11397 CG1424 CG1569 CG1619 CG18412 CG18468 CG1911 CG32435 CG3326 CG33473 CG34438 CG4879 CG5052 CG5940 CG5977 CG6386 CG6620 CG7619 CG7891 CG9748 CG9900
GO:0000820	regulation of glutamine family amino acid metabolic process	CG7433
GO:0000823	inositol-1,4,5-trisphosphate 6-kinase activity	CG13688
GO:0000900	translation repressor activity, nucleic acid binding	CG10422 CG30170 CG31000 CG43782
GO:0000902	cell morphogenesis	CG10236 CG10443 CG10540 CG10882 CG10954 CG11066 CG11198 CG11199 CG11527 CG11579 CG11711 CG12021 CG12212 CG12770 CG14026 CG14750 CG15112 CG15231 CG1560 CG1594 CG16725 CG16973 CG17158 CG1771 CG17998 CG18247 CG18319 CG18361 CG18412 CG2028 CG2079 CG2248 CG2272 CG2615 CG2621 CG3057 CG31605 CG32045 CG32120 CG3322 CG3352 CG33955 CG33979 CG34379 CG34403 CG3539 CG3595 CG3619 CG3622 CG3665 CG3722 CG3830 CG3936 CG3973 CG4032 CG4071 CG41099 CG4214 CG42311 CG4254 CG4257 CG42783 CG43398 CG4527 CG4550 CG4636 CG4832 CG4931 CG5055 CG5201 CG5484 CG5588 CG5595 CG5629 CG5686 CG5771 CG5837 CG5912 CG6223 CG6238 CG6259 CG6383 CG6494 CG6742 CG7012 CG7073 CG7123 CG7138 CG7558 CG7961 CG8416 CG8465 CG8487 CG8522 CG8556 CG8874 CG8930 CG8978 CG9175 CG9355 CG9369 CG9375 CG9495 CG9553 CG9623 CG9635 CG9749 CG9881 CG9901
GO:0000904	cell morphogenesis involved in differentiation	CG10236 CG10443 CG11199 CG11527 CG12021 CG12212 CG12770 CG14750 CG15112 CG1560 CG1594 CG16725 CG16973 CG1771 CG17998 CG18319 CG18412 CG2621 CG3057 CG31605 CG32045 CG32120 CG3322 CG3352 CG3619 CG3622 CG3665 CG3936 CG3973 CG4032 CG4071 CG41099 CG42311 CG4257 CG42783 CG4550 CG4832 CG5055 CG5595 CG5629 CG6259 CG6383 CG7012 CG7123 CG7138 CG7558 CG8930 CG9375 CG9495 CG9623
GO:0000910	cytokinesis	CG1004 CG10067 CG10068 CG10119 CG10522 CG10722 CG10923 CG11207 CG12051 CG12165 CG12265 CG12306 CG1258 CG12876 CG13345 CG14228 CG1528 CG15792 CG15811 CG17009 CG1768 CG2092 CG2095 CG2478 CG2512 CG31040 CG31136 CG32038 CG3210 CG3248 CG33094 CG33554 CG34438 CG3510 CG3573 CG3595 CG4027 CG4035 CG4173 CG4214 CG4236 CG4254 CG4454 CG4527 CG4713 CG5052 CG5119 CG5771 CG5785 CG5814 CG6095 CG6176 CG6193 CG6546 CG6549 CG6620 CG6625 CG6743 CG6921 CG6944 CG7004 CG7081 CG7085 CG7236 CG7795 CG7864 CG7923 CG7961 CG8023 CG8055 CG8114 CG8156 CG8171 CG8385 CG8416 CG8590 CG8605 CG8705 CG8739 CG8843 CG9045 CG9201 CG9484 CG9553 CG9575 CG9774 CG9900
GO:0000912	assembly of actomyosin apparatus involved in cytokinesis	CG10522 CG12265 CG12306 CG1768 CG18102 CG2092 CG6921 CG7085 CG8114 CG8416
GO:0000915	actomyosin contractile ring assembly	CG10522 CG12265 CG12306 CG1768 CG18102 CG2092 CG6921 CG7085 CG8114 CG8416
GO:0000916	actomyosin contractile ring contraction	CG11207 CG1258 CG2095 CG2478 CG31040 CG32038 CG5771 CG6095 CG6549 CG7004
GO:0000920	cell separation after cytokinesis	CG3510 CG6620
GO:0000922	spindle pole	CG12298 CG12306 CG1453 CG17064 CG32435 CG3423 CG4832 CG6193 CG6875 CG8432 CG8440 CG8472 CG9028 CG9191 CG9660 CG9765
GO:0000930	gamma-tubulin complex	CG10346 CG10988 CG3157 CG3917 CG5688 CG9201
GO:0000931	gamma-tubulin large complex	CG10346 CG3157 CG5688 CG9201
GO:0000932	cytoplasmic mRNA processing body	CG11181 CG11183 CG31992 CG32016 CG3291 CG4035 CG4916 CG5208 CG5263 CG5753 CG6169 CG6311 CG8715 CG8994
GO:0000938	GARP complex	CG3766 CG4996 CG7371
GO:0000939	condensed chromosome inner kinetochore	CG13329
GO:0000940	condensed chromosome outer kinetochore	CG11451 CG12306 CG3018 CG4494 CG7643
GO:0000941	condensed nuclear chromosome inner kinetochore	CG13329
GO:0000942	condensed nuclear chromosome outer kinetochore	CG7643
GO:0000944	base pairing with rRNA	CR43592 CR43600
GO:0000945	base pairing with snRNA	CR33726 CR43570 CR43571 CR43586 CR43589 CR43592 CR43594 CR43600 CR43601
GO:0000956	nuclear-transcribed mRNA catabolic process	CG11183 CG11184 CG11513 CG13207 CG1559 CG2163 CG2253 CG31137 CG31299 CG32743 CG3291 CG34407 CG5208 CG5263 CG5651 CG5684 CG6169 CG6369 CG8232 CG8426 CG8777 CG8954
GO:0000959	mitochondrial RNA metabolic process	CG11418 CG15896 CG18124 CG18317 CG3298 CG3910 CG4938 CG5190 CG7113 CG7175 CG9791
GO:0000963	mitochondrial RNA processing	CG11418 CG15896 CG3298 CG5190 CG7113 CG9791
GO:0000965	mitochondrial RNA 3'-end processing	CG11418 CG3298 CG9791
GO:0000974	Prp19 complex	CG1796 CG31368 CG4886 CG4980 CG6197 CG6905 CG8264 CG9667
GO:0000975	regulatory region DNA binding	CG10002 CG10037 CG1030 CG10385 CG10388 CG10447 CG10488 CG10619 CG1071 CG11049 CG11094 CG11186 CG11254 CG1133 CG11387 CG11648 CG11783 CG12245 CG12296 CG12399 CG1264 CG12690 CG12701 CG1322 CG1429 CG1449 CG1464 CG14996 CG16738 CG1689 CG17077 CG17117 CG1759 CG17592 CG1765 CG17743 CG18009 CG18412 CG1856 CG1864 CG18647 CG2047 CG2125 CG2189 CG2328 CG2692 CG2702 CG2819 CG2988 CG31212 CG31240 CG31256 CG31670 CG32062 CG32443 CG32529 CG33133 CG33183 CG33336 CG3388 CG34395 CG34403 CG3455 CG3497 CG3743 CG3886 CG3891 CG3895 CG3956 CG3992 CG4029 CG4059 CG42277 CG42515 CG43122 CG4354 CG4380 CG44123 CG4699 CG5083 CG5133 CG5393 CG5403 CG5640 CG5838 CG6226 CG6348 CG6376 CG6494 CG6634 CG6667 CG6716 CG7199 CG7413 CG7450 CG7562 CG7771 CG7895 CG7952 CG8333 CG8544 CG8591 CG8651 CG8669 CG8676 CG8704 CG8725 CG8933 CG9007 CG9015 CG9305 CG9597 CG9653 CG9786 CG9797 CG9874 CG9908
GO:0000976	transcription regulatory region sequence-specific DNA binding	CG10002 CG10037 CG1030 CG10388 CG10447 CG10488 CG10619 CG11049 CG11094 CG11186 CG1133 CG11387 CG11648 CG11783 CG12245 CG12399 CG12690 CG12701 CG1322 CG1429 CG1449 CG1464 CG16738 CG1759 CG1765 CG17743 CG18009 CG1856 CG1864 CG18647 CG2047 CG2125 CG2189 CG2328 CG2692 CG2702 CG2819 CG2988 CG31240 CG31256 CG32529 CG33133 CG33183 CG33336 CG3388 CG34395 CG34403 CG3497 CG3743 CG3891 CG3956 CG4029 CG4059 CG42277 CG42515 CG43122 CG4354 CG4380 CG44123 CG5133 CG5393 CG5403 CG5838 CG6494 CG6634 CG6667 CG6716 CG7199 CG7450 CG7562 CG7771 CG7895 CG7952 CG8544 CG8591 CG8669 CG8676 CG9015 CG9305 CG9597 CG9653 CG9786 CG9797 CG9874 CG9908
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	CG10002 CG10037 CG1030 CG10388 CG10488 CG10619 CG11094 CG11186 CG1133 CG11648 CG11783 CG12245 CG12399 CG1322 CG1449 CG1464 CG1759 CG17743 CG18009 CG1856 CG1864 CG2047 CG2125 CG2189 CG2328 CG2692 CG2702 CG2819 CG2988 CG31240 CG33183 CG3388 CG34403 CG3497 CG3956 CG42277 CG42515 CG43122 CG4354 CG6494 CG6634 CG6667 CG6716 CG7199 CG7562 CG7771 CG7895 CG7952 CG8544 CG8669 CG8676 CG9015 CG9597 CG9653 CG9786 CG9797 CG9874
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	CG1856 CG2702 CG42515 CG6494 CG7562 CG7771 CG8676 CG9597 CG9874
GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	CG18009 CG9797
GO:0000980	RNA polymerase II distal enhancer sequence-specific DNA binding	CG10037 CG10388 CG10619 CG1133 CG11648 CG12399 CG17743 CG1856 CG2047 CG2125 CG2328 CG2988 CG34403 CG3497 CG7895 CG7952 CG8544 CG8669 CG9015 CG9653 CG9786
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	CG10002 CG10037 CG1028 CG10325 CG1034 CG1046 CG10571 CG10601 CG10619 CG11049 CG11094 CG11121 CG11186 CG1133 CG11502 CG11798 CG11924 CG11992 CG12154 CG12245 CG12287 CG12399 CG12653 CG1322 CG13475 CG1374 CG1378 CG14029 CG1429 CG1464 CG16738 CG1705 CG17077 CG17117 CG17228 CG1765 CG17888 CG17958 CG18024 CG18144 CG1856 CG18647 CG1922 CG2047 CG2125 CG2189 CG2275 CG2328 CG2819 CG2851 CG2956 CG31240 CG3143 CG3166 CG32120 CG32180 CG33183 CG3340 CG33956 CG34395 CG34403 CG3497 CG3758 CG3978 CG3992 CG4059 CG42277 CG42332 CG4257 CG42739 CG43122 CG4380 CG43934 CG44246 CG4677 CG4717 CG5133 CG5187 CG5249 CG5488 CG5529 CG5893 CG6096 CG6172 CG6376 CG6494 CG6545 CG6634 CG6667 CG6716 CG6794 CG7199 CG7260 CG7672 CG7734 CG7771 CG7895 CG7902 CG7952 CG8361 CG8365 CG8522 CG8676 CG8704 CG8819 CG8821 CG8933 CG9015 CG9019 CG9045 CG9786
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	CG10037 CG11094 CG11502 CG11798 CG11924 CG11992 CG12154 CG12287 CG1374 CG14029 CG1429 CG17228 CG1765 CG17888 CG17958 CG18144 CG1856 CG1922 CG2047 CG2819 CG2851 CG31240 CG3143 CG32180 CG33956 CG34395 CG3497 CG3758 CG3992 CG4059 CG42332 CG4257 CG44246 CG4717 CG5249 CG6096 CG6376 CG6494 CG6667 CG6794 CG7771 CG8361 CG8365 CG8522 CG8704 CG8819 CG8821 CG9015 CG9019 CG9045
GO:0000983	transcription factor activity, RNA polymerase II core promoter sequence-specific	CG3978
GO:0000987	core promoter proximal region sequence-specific DNA binding	CG1856 CG2702 CG33133 CG42515 CG6494 CG7562 CG7771 CG8676 CG9597 CG9874
GO:0000988	transcription factor activity, protein binding	CG1007 CG10619 CG11347 CG11518 CG11579 CG11866 CG12031 CG12399 CG12767 CG13109 CG13201 CG13867 CG14802 CG15085 CG15319 CG1621 CG17358 CG17397 CG17603 CG1960 CG31390 CG3227 CG32296 CG33545 CG3848 CG4003 CG4005 CG4143 CG42687 CG5057 CG5163 CG5229 CG5460 CG5465 CG5581 CG5591 CG5930 CG6046 CG6711 CG6964 CG7162 CG7281 CG7471 CG7583 CG7734 CG7957 CG7959 CG7960 CG7999 CG8208 CG8384 CG8491 CG8580 CG8609 CG8669 CG8933 CG9151 CG9473 CG9556 CG9750 CG9874 CG9936
GO:0000989	transcription factor activity, transcription factor binding	CG1007 CG10619 CG11347 CG11518 CG11579 CG11866 CG12031 CG12399 CG12767 CG13109 CG13201 CG13867 CG14802 CG15085 CG15319 CG1621 CG17358 CG17397 CG17603 CG1960 CG31390 CG3227 CG32296 CG33545 CG3848 CG4003 CG4005 CG4143 CG42687 CG5057 CG5163 CG5229 CG5460 CG5465 CG5581 CG5591 CG5930 CG6046 CG6711 CG6964 CG7162 CG7281 CG7471 CG7583 CG7734 CG7957 CG7959 CG7960 CG7999 CG8208 CG8384 CG8491 CG8580 CG8609 CG8669 CG8933 CG9151 CG9473 CG9556 CG9750 CG9874 CG9936
GO:0000992	polymerase III regulatory region sequence-specific DNA binding	CG2702 CG31256 CG42515 CG7562 CG9305 CG9597 CG9874
GO:0001003	RNA polymerase III type 2 promoter sequence-specific DNA binding	CG7562
GO:0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding	CG2702 CG31256 CG42515 CG9305 CG9597 CG9874
GO:0001009	transcription from RNA polymerase III type 2 promoter	CG7562
GO:0001010	transcription factor activity, sequence-specific DNA binding transcription factor recruiting	CG10619
GO:0001011	transcription factor activity, sequence-specific DNA binding, RNA polymerase recruiting	CG42515 CG9597
GO:0001012	RNA polymerase II regulatory region DNA binding	CG10002 CG10037 CG1030 CG10388 CG10488 CG10619 CG1071 CG11094 CG11186 CG1133 CG11648 CG11783 CG12245 CG12399 CG1322 CG1449 CG1464 CG1759 CG17743 CG18009 CG1856 CG1864 CG2047 CG2125 CG2189 CG2328 CG2692 CG2702 CG2819 CG2988 CG31240 CG33183 CG3388 CG34403 CG3497 CG3956 CG42277 CG42515 CG43122 CG4354 CG6348 CG6376 CG6494 CG6634 CG6667 CG6716 CG7199 CG7413 CG7562 CG7771 CG7895 CG7952 CG8544 CG8669 CG8676 CG9015 CG9597 CG9653 CG9786 CG9797 CG9874
GO:0001013	RNA polymerase I regulatory region DNA binding	CG3455
GO:0001016	RNA polymerase III regulatory region DNA binding	CG2702 CG31256 CG42515 CG7562 CG9305 CG9597 CG9874
GO:0001031	RNA polymerase III type 2 promoter DNA binding	CG7562
GO:0001032	RNA polymerase III type 3 promoter DNA binding	CG2702 CG31256 CG42515 CG9305 CG9597 CG9874
GO:0001035	transcription from RNA polymerase III type 3 promoter	CG9874
GO:0001046	core promoter sequence-specific DNA binding	CG18009 CG9797
GO:0001047	core promoter binding	CG1765 CG18009 CG18412 CG32443 CG33336 CG3886 CG3895 CG4699 CG5640 CG9007 CG9797 CG9874
GO:0001067	regulatory region nucleic acid binding	CG10002 CG10037 CG1030 CG10385 CG10388 CG10447 CG10488 CG10619 CG1071 CG11049 CG11094 CG11186 CG11254 CG1133 CG11387 CG11648 CG11783 CG12245 CG12296 CG12399 CG1264 CG12690 CG12701 CG1322 CG1429 CG1449 CG1464 CG14996 CG16738 CG1689 CG17077 CG17117 CG1759 CG17592 CG1765 CG17743 CG18009 CG18412 CG1856 CG1864 CG18647 CG2047 CG2125 CG2189 CG2328 CG2692 CG2702 CG2819 CG2988 CG31212 CG31240 CG31256 CG31670 CG32062 CG32443 CG32529 CG33133 CG33183 CG33336 CG3388 CG34395 CG34403 CG3455 CG3497 CG3743 CG3886 CG3891 CG3895 CG3956 CG3992 CG4029 CG4059 CG42277 CG42515 CG43122 CG4354 CG4380 CG44123 CG4699 CG5083 CG5133 CG5393 CG5403 CG5640 CG5838 CG6226 CG6348 CG6376 CG6494 CG6634 CG6667 CG6716 CG7199 CG7413 CG7450 CG7562 CG7771 CG7895 CG7952 CG8333 CG8544 CG8591 CG8651 CG8669 CG8676 CG8704 CG8725 CG8933 CG9007 CG9015 CG9305 CG9597 CG9653 CG9786 CG9797 CG9874 CG9908
GO:0001071	nucleic acid binding transcription factor activity	CG10002 CG10037 CG1028 CG10325 CG1034 CG1046 CG10571 CG10601 CG10619 CG1070 CG10798 CG11049 CG11094 CG11121 CG11186 CG11202 CG1133 CG11502 CG11551 CG11648 CG11762 CG11798 CG11849 CG11924 CG11992 CG12154 CG12245 CG12287 CG12399 CG12653 CG12767 CG1322 CG1343 CG13475 CG13651 CG1374 CG1378 CG14029 CG1429 CG14548 CG1464 CG1650 CG16738 CG1705 CG17077 CG17100 CG17117 CG17228 CG1759 CG1765 CG17888 CG17958 CG18009 CG18024 CG18144 CG1849 CG1856 CG18647 CG1922 CG2047 CG2125 CG2189 CG2275 CG2328 CG2819 CG2851 CG2956 CG31240 CG3143 CG3166 CG31753 CG32120 CG32180 CG33183 CG33261 CG3340 CG33956 CG34395 CG34403 CG3497 CG3743 CG3758 CG3858 CG3978 CG3992 CG4059 CG42277 CG42311 CG42332 CG42515 CG4257 CG42739 CG43122 CG4380 CG43934 CG44246 CG4677 CG4717 CG5109 CG5133 CG5187 CG5249 CG5393 CG5488 CG5529 CG5575 CG5748 CG5893 CG6096 CG6172 CG6376 CG6494 CG6502 CG6545 CG6634 CG6667 CG6716 CG6794 CG7199 CG7260 CG7450 CG7672 CG7734 CG7771 CG7807 CG7895 CG7902 CG7952 CG8333 CG8361 CG8365 CG8522 CG8567 CG8676 CG8704 CG8817 CG8819 CG8821 CG8933 CG9015 CG9019 CG9045 CG9151 CG9597 CG9648 CG9786
GO:0001076	transcription factor activity, RNA polymerase II transcription factor binding	CG1007 CG11518 CG11579 CG12031 CG12399 CG13201 CG13867 CG14802 CG15085 CG1621 CG17358 CG17397 CG17603 CG1960 CG31390 CG32296 CG5057 CG5163 CG5465 CG5930 CG6711 CG7162 CG7281 CG7734 CG7957 CG7999 CG8384 CG8491 CG8609 CG8669 CG9473 CG9874 CG9936
GO:0001077	transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	CG10037 CG11094 CG11924 CG11992 CG12154 CG12287 CG1429 CG1765 CG17888 CG17958 CG18144 CG1922 CG2047 CG2819 CG31240 CG3143 CG32180 CG33956 CG34395 CG3497 CG3992 CG4059 CG42332 CG4257 CG44246 CG6376 CG6667 CG6794 CG8522 CG8819 CG8821 CG9045
GO:0001078	transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding	CG11094 CG11502 CG11798 CG1374 CG14029 CG17228 CG1856 CG2851 CG3758 CG4717 CG5249 CG6096 CG6494 CG8361 CG8365 CG8704 CG9015 CG9019
GO:0001083	transcription factor activity, RNA polymerase II basal transcription factor binding	CG17358 CG17603 CG5163 CG5930 CG6711 CG9874
GO:0001085	RNA polymerase II transcription factor binding	CG10281 CG10619 CG10981 CG12399 CG15191 CG2762 CG33336 CG3497 CG3924 CG3978 CG4303 CG5444 CG5930 CG6538 CG7562 CG7734 CG8276 CG8669 CG8817 CG9383 CG9874
GO:0001091	RNA polymerase II basal transcription factor binding	CG10281 CG15191 CG33336 CG5444 CG5930 CG6538 CG7562 CG9874
GO:0001092	TFIIA-class transcription factor binding	CG5444 CG7562 CG9874
GO:0001093	TFIIB-class transcription factor binding	CG7562
GO:0001094	TFIID-class transcription factor binding	CG15191 CG5930
GO:0001096	TFIIF-class transcription factor binding	CG10281 CG6538
GO:0001097	TFIIH-class transcription factor binding	CG33336
GO:0001098	basal transcription machinery binding	CG10281 CG12767 CG15191 CG33336 CG5444 CG5930 CG6538 CG7562 CG9874
GO:0001099	basal RNA polymerase II transcription machinery binding	CG10281 CG12767 CG15191 CG33336 CG5444 CG5930 CG6538 CG7562 CG9874
GO:0001101	response to acid chemical	CG10633 CG14184 CG14575 CG14686 CG14812 CG14977 CG15371 CG15444 CG15917 CG31059 CG31284 CG31509 CG32704 CG4805 CG5110 CG5124 CG5189 CG5842 CG7189 CG7385 CG8246 CG8707
GO:0001102	RNA polymerase II activating transcription factor binding	CG10619 CG12399 CG2762 CG7734 CG8669
GO:0001103	RNA polymerase II repressing transcription factor binding	CG10981 CG3978 CG9383
GO:0001104	RNA polymerase II transcription cofactor activity	CG11518 CG11579 CG12031 CG12399 CG13201 CG13867 CG14802 CG1621 CG17397 CG1960 CG31390 CG32296 CG5057 CG5465 CG7162 CG7281 CG7734 CG7957 CG7999 CG8384 CG8491 CG8609 CG8669 CG9473 CG9936
GO:0001105	RNA polymerase II transcription coactivator activity	CG11518 CG11579 CG12399 CG1960 CG32296 CG7734 CG8669
GO:0001106	RNA polymerase II transcription corepressor activity	CG1621 CG8384
GO:0001109	promoter clearance during DNA-templated transcription	CG3319
GO:0001111	promoter clearance from RNA polymerase II promoter	CG3319
GO:0001129	RNA polymerase II transcription factor activity, TBP-class protein binding, involved in preinitiation complex assembly	CG17358 CG17603 CG5163 CG5930 CG6711 CG9874
GO:0001132	RNA polymerase II transcription factor activity, TBP-class protein binding	CG17358 CG17603 CG5163 CG5930 CG6711 CG9874
GO:0001133	RNA polymerase II transcription factor activity, sequence-specific transcription regulatory region DNA binding	CG10619
GO:0001134	transcription factor activity, transcription factor recruiting	CG10619
GO:0001158	enhancer sequence-specific DNA binding	CG10037 CG10388 CG10619 CG11049 CG1133 CG11648 CG12245 CG12399 CG1429 CG16738 CG17743 CG1856 CG2047 CG2125 CG2189 CG2328 CG2988 CG34403 CG3497 CG5133 CG5393 CG7450 CG7895 CG7952 CG8544 CG8669 CG9015 CG9653 CG9786 CG9908
GO:0001159	core promoter proximal region DNA binding	CG1856 CG2702 CG33133 CG42515 CG6494 CG7562 CG7771 CG8676 CG9597 CG9874
GO:0001163	RNA polymerase I regulatory region sequence-specific DNA binding	CG3455
GO:0001173	DNA-templated transcriptional start site selection	CG5193
GO:0001174	transcriptional start site selection at RNA polymerase II promoter	CG5193
GO:0001178	regulation of transcriptional start site selection at RNA polymerase II promoter	CG10203 CG10851 CG17136 CG1987 CG4602 CG5442 CG5655
GO:0001190	transcriptional activator activity, RNA polymerase II transcription factor binding	CG11518 CG11579 CG12399 CG1960 CG32296 CG7734 CG8669
GO:0001191	transcriptional repressor activity, RNA polymerase II transcription factor binding	CG1007 CG11518 CG11579 CG12399 CG15085 CG1621 CG1960 CG32296 CG7734 CG8384 CG8669
GO:0001205	transcriptional activator activity, RNA polymerase II distal enhancer sequence-specific binding	CG1133 CG1429 CG2125 CG34403
GO:0001221	transcription cofactor binding	CG10741 CG17117 CG1765 CG6634
GO:0001222	transcription corepressor binding	CG6634
GO:0001223	transcription coactivator binding	CG10741 CG17117 CG1765
GO:0001224	RNA polymerase II transcription cofactor binding	CG1765 CG6634
GO:0001225	RNA polymerase II transcription coactivator binding	CG1765
GO:0001226	RNA polymerase II transcription corepressor binding	CG6634
GO:0001227	transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding	CG11094 CG11502 CG11798 CG1374 CG14029 CG17228 CG1856 CG2851 CG3758 CG43122 CG4717 CG5249 CG6096 CG6494 CG6634 CG8361 CG8365 CG8704 CG9015 CG9019
GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	CG10037 CG11094 CG1133 CG11924 CG11992 CG12154 CG12245 CG12287 CG1429 CG1765 CG17888 CG17958 CG18144 CG1922 CG2047 CG2125 CG2819 CG31240 CG3143 CG32180 CG33956 CG34395 CG34403 CG3497 CG3992 CG4059 CG42332 CG4257 CG44246 CG6376 CG6667 CG6794 CG8522 CG8819 CG8821 CG9045
GO:0001306	age-dependent response to oxidative stress	CG11793 CG18741 CG2647 CG30410
GO:0001315	age-dependent response to reactive oxygen species	CG30410
GO:0001408	guanine nucleotide transport	CG2759
GO:0001504	neurotransmitter uptake	CG2759 CG4545 CG9317
GO:0001505	regulation of neurotransmitter levels	CG12345 CG15319 CG15811 CG17907 CG2759 CG31136 CG3139 CG42344 CG4264 CG43368 CG4545 CG5744 CG6170 CG9206 CG9317
GO:0001508	action potential	CG12348 CG16944 CG43128
GO:0001510	RNA methylation	CG10692 CG12367 CG5933 CG7421 CG7818
GO:0001514	selenocysteine incorporation	CG7066 CG9841
GO:0001516	prostaglandin biosynthetic process	CG7660
GO:0001522	pseudouridine synthesis	CG3333
GO:0001523	retinoid metabolic process	CG4899 CG6728 CG9347
GO:0001530	lipopolysaccharide binding	CG11315 CG31410 CG4144 CG5008 CG6895 CG7291
GO:0001539	cilium or flagellum-dependent cell motility	CG14620 CG33957
GO:0001540	beta-amyloid binding	CG7828
GO:0001541	ovarian follicle development	CG3622
